city;district;microdistrict;street;building;area;floor;num_of_rooms;price;url;picture
Челябинск;Металлургический;;50-летия ВЛКСМ;17А;52;4;2;13000;https://arenda-022.ru/sdam/kvartira--50-letiya-vlksm-17a_1620292254;https://arenda-022.ru/images/upload/2021_05_1009_980180_Челябинск.jpg
Челябинск;Калининский;;Каслинская;23Б;34;1;1;10000;https://arenda-022.ru/sdam/kvartira-kaslinskaya-ul-23b_1620285301;https://arenda-022.ru/images/upload/2021_05_1051_993690_Челябинск.jpg
Челябинск;Калининский;;Университетская Набережная;80;46;4;1;15000;https://arenda-022.ru/sdam/kvartira--universitetskaya-naberezhnaya-80_1620305562;https://arenda-022.ru/images/upload/2021_05_6858_684777_Челябинск.jpg
Челябинск;Центральный;;Российская;63Б;66;9;2;13000;https://arenda-022.ru/sdam/kvartira-rossiyskaya-ul-63b_1620282813;https://arenda-022.ru/images/upload/2021_05_9311_780926_Челябинск.jpg
Челябинск;Калининский;;Каслинская;27;48;1;3;15000;https://arenda-022.ru/sdam/kvartira-kaslinskaya-ul-27_1620359745;https://arenda-022.ru/images/upload/2021_05_5217_682917_Челябинск.jpg
Челябинск;Калининский;;Салавата Юлаева;17;33;7;1;11000;https://arenda-022.ru/sdam/kvartira--salavata-yulaeva-17_1620282068;https://arenda-022.ru/images/upload/2021_05_9910_979628_Челябинск.jpg
Челябинск;Тракторозаводский;;пер. Мамина;6А;34;6;1;12000;https://arenda-022.ru/sdam/kvartira-per-mamina-6a_1620330702;https://arenda-022.ru/images/upload/2021_05_6616_910147_Челябинск.jpg
Челябинск;Ленинский;;Копейское ш.;47;53;7;2;14000;https://arenda-022.ru/sdam/kvartira-kopeyskoe-sh-47_1620358229;https://arenda-022.ru/images/upload/2021_05_3119_114172_Челябинск.jpg
Челябинск;Центральный;;пр-т Ленина;66;37;1;1;13000;https://arenda-022.ru/sdam/kvartira-pr-t-lenina-66_1620347854;https://arenda-022.ru/images/upload/2021_05_5215_31424_Челябинск.jpg
Челябинск;Курчатовский;;40-летия Победы;9А;58;8;2;25000;https://arenda-022.ru/sdam/kvartira--40-letiya-pobedy-9a_1620330627;https://arenda-022.ru/images/upload/2021_05_71_101214_Челябинск.jpg
Челябинск;Тракторозаводский;;Артиллерийская;110;32;2;1;11000;https://arenda-022.ru/sdam/kvartira-artilleriyskaya-ul-110_1620327226;https://arenda-022.ru/images/upload/2021_05_77_324674_Челябинск.jpg
Челябинск;Курчатовский;;Солнечная;6Г;54;2;1;13000;https://arenda-022.ru/sdam/kvartira-solnechnaya-ul-6g_1620287773;https://arenda-022.ru/images/upload/2021_05_4296_304230_Челябинск.jpg
Челябинск;Центральный;;пр-т Ленина;83А;40;4;1;14000;https://arenda-022.ru/sdam/kvartira-pr-t-lenina-83a_1620296242;https://arenda-022.ru/images/upload/2021_05_2933_811303_Челябинск.jpg
Челябинск;Курчатовский;;40-летия Победы;5;64;1;2;25000;https://arenda-022.ru/sdam/kvartira--40-letiya-pobedy-5_1620298179;https://arenda-022.ru/images/upload/2021_05_4312_837479_Челябинск.jpg
Челябинск;Курчатовский;;Краснопольский пр-т;3В;35;1;1;13000;https://arenda-022.ru/sdam/kvartira-krasnopolskiy-pr-t-3v_1620359240;https://arenda-022.ru/images/upload/2021_05_2648_779480_Челябинск.jpg
Челябинск;Советский;;Овчинникова;17А;43;4;1;13000;https://arenda-022.ru/sdam/kvartira--ovchinnikova-17a_1620359967;https://arenda-022.ru/images/upload/2021_05_6729_236313_Челябинск.jpg
Челябинск;Калининский;;Каслинская;17Б;33;3;1;10000;https://arenda-022.ru/sdam/kvartira-kaslinskaya-ul-17b_1620290298;https://arenda-022.ru/images/upload/2021_05_7811_1613_Челябинск.jpg
Челябинск;Калининский;;Университетская Набережная;62;34;1;1;15000;https://arenda-022.ru/sdam/kvartira--universitetskaya-naberezhnaya-62_1620286992;https://arenda-022.ru/images/upload/2021_05_2204_393217_Челябинск.jpg
Челябинск;Тракторозаводский;;2-я Эльтонская;34;36;4;1;8000;https://arenda-022.ru/sdam/kvartira-2-ya-eltonskaya-ul-34_1620307280;https://arenda-022.ru/images/upload/2021_05_4783_479141_Челябинск.jpg
Челябинск;Калининский;;Братьев Кашириных;95;34;5;1;10000;https://arenda-022.ru/sdam/kvartira--bratev-kashirinyh-95_1620283538;https://arenda-022.ru/images/upload/2021_05_8344_286252_Челябинск.jpg
Челябинск;Курчатовский;;Молодогвардейцев;19А;52;3;2;15000;https://arenda-022.ru/sdam/kvartira--molodogvardeycev-19a_1620361599;https://arenda-022.ru/images/upload/2021_05_5754_513650_Челябинск.jpg
Челябинск;Калининский;;Болейко;7А;36;8;1;9000;https://arenda-022.ru/sdam/kvartira--boleyko-7a_1620287946;https://arenda-022.ru/images/upload/2021_05_4262_941832_Челябинск.jpg
Челябинск;Советский;;Цвиллинга;90;57;3;3;27000;https://arenda-022.ru/sdam/kvartira--cvillinga-90_1620364329;https://arenda-022.ru/images/upload/2021_05_5556_630362_Челябинск.jpg
Челябинск;Курчатовский;;пр-т Победы;322;30;3;1;9000;https://arenda-022.ru/sdam/kvartira-pr-t-pobedy-322_1620291089;https://arenda-022.ru/images/upload/2021_05_4404_261518_Челябинск.jpg
Челябинск;Курчатовский;;40-летия Победы;7;36;1;1;20000;https://arenda-022.ru/sdam/kvartira--40-letiya-pobedy-7_1620294197;https://arenda-022.ru/images/upload/2021_05_3580_278967_Челябинск.jpg
Челябинск;Советский;;Телевизионная;12А;58;1;3;25000;https://arenda-022.ru/sdam/kvartira-televizionnaya-ul-12a_1620301612;https://arenda-022.ru/images/upload/2021_05_339_487462_Челябинск.jpg
Челябинск;Металлургический;;50-летия ВЛКСМ;13;33;2;1;11000;https://arenda-022.ru/sdam/kvartira--50-letiya-vlksm-13_1620280480;https://arenda-022.ru/images/upload/2021_05_7614_528231_Челябинск.jpg
Челябинск;Калининский;;Косарева;63;60;5;2;19000;https://arenda-022.ru/sdam/kvartira--kosareva-63_1620274141;https://arenda-022.ru/images/upload/2021_05_9556_688417_Челябинск.jpg
Челябинск;Металлургический;;Богдана Хмельницкого;22;36;3;1;10000;https://arenda-022.ru/sdam/kvartira--bogdana-hmelnickogo-22_1620213998;https://arenda-022.ru/images/upload/2021_05_900_424409_Челябинск.jpg
Челябинск;Курчатовский;;Салавата Юлаева;26;40;6;1;14000;https://arenda-022.ru/sdam/kvartira--salavata-yulaeva-26_1620239669;https://arenda-022.ru/images/upload/2021_05_6476_38384_Челябинск.jpg
Челябинск;Калининский;;Салавата Юлаева;17В;34;1;1;8500;https://arenda-022.ru/sdam/kvartira--salavata-yulaeva-17v_1620214816;https://arenda-022.ru/images/upload/2021_05_1203_673422_Челябинск.jpg
Челябинск;Ленинский;;Руставели;30;58;6;2;13000;https://arenda-022.ru/sdam/kvartira--rustaveli-30_1620227621;https://arenda-022.ru/images/upload/2021_05_3149_112133_Челябинск.jpg
Челябинск;Калининский;;250-летия Челябинска;28;51;6;2;30000;https://arenda-022.ru/sdam/kvartira--250-letiya-chelyabinska-28_1620211868;https://arenda-022.ru/images/upload/2021_05_6615_63752_Челябинск.jpg
Челябинск;Советский;;Трактовая;21;32;3;1;10000;https://arenda-022.ru/sdam/kvartira-traktovaya-ul-21_1620214538;https://arenda-022.ru/images/upload/2021_05_8795_937724_Челябинск.jpg
Челябинск;Курчатовский;;Генерала Мартынова;3;43;4;1;10000;https://arenda-022.ru/sdam/kvartira--generala-martynova-3_1620216932;https://arenda-022.ru/images/upload/2021_05_2070_77997_Челябинск.jpg
Челябинск;Центральный;;Труда;162;40;1;1;15000;https://arenda-022.ru/sdam/kvartira--truda-162_1620209499;https://arenda-022.ru/images/upload/2021_05_9492_53666_Челябинск.jpg
Челябинск;Советский;;Овчинникова;7Б;36;4;1;13000;https://arenda-022.ru/sdam/kvartira--ovchinnikova-7b_1620216556;https://arenda-022.ru/images/upload/2021_05_7791_320290_Челябинск.jpg
Челябинск;Курчатовский;;Маршала Чуйкова;13А;42;4;2;15000;https://arenda-022.ru/sdam/kvartira--marshala-chuykova-13a_1620263847;https://arenda-022.ru/images/upload/2021_05_5808_742003_Челябинск.jpg
Челябинск;Курчатовский;;Мусы Джалиля;11;43;5;1;13000;https://arenda-022.ru/sdam/kvartira--musy-dzhalilya-11_1620209601;https://arenda-022.ru/images/upload/2021_05_3245_143350_Челябинск.jpg
Челябинск;Калининский;;Чичерина;36А;40;4;1;13000;https://arenda-022.ru/sdam/kvartira--chicherina-36a_1620216208;https://arenda-022.ru/images/upload/2021_05_7653_600408_Челябинск.jpg
Челябинск;Тракторозаводский;;Трашутина;35;41;6;1;12000;https://arenda-022.ru/sdam/kvartira--trashutina-35_1620206955;https://arenda-022.ru/images/upload/2021_05_9491_446264_Челябинск.jpg
Челябинск;Тракторозаводский;;Танкистов;156Б;40;5;2;10000;https://arenda-022.ru/sdam/kvartira--tankistov-156b_1620240402;https://arenda-022.ru/images/upload/2021_05_6955_880949_Челябинск.jpg
Челябинск;Центральный;;Энгельса;69А;30;2;1;17000;https://arenda-022.ru/sdam/kvartira--engelsa-69a_1620207762;https://arenda-022.ru/images/upload/2021_05_4275_813700_Челябинск.jpg
Челябинск;Курчатовский;;Бейвеля;112;31;8;1;12000;https://arenda-022.ru/sdam/kvartira--beyvelya-112_1620229357;https://arenda-022.ru/images/upload/2021_05_5582_376774_Челябинск.jpg
Челябинск;Тракторозаводский;;Хохрякова;14А;53;4;2;8000;https://arenda-022.ru/sdam/kvartira--hohryakova-14a_1620275450;https://arenda-022.ru/images/upload/2021_05_7690_581922_Челябинск.jpg
Челябинск;Курчатовский;;Аношкина;10;52;5;2;22000;https://arenda-022.ru/sdam/kvartira--anoshkina-10_1620208154;https://arenda-022.ru/images/upload/2021_05_7988_830752_Челябинск.jpg
Челябинск;Ленинский;;Тухачевского;13;49;8;2;11000;https://arenda-022.ru/sdam/kvartira--tuhachevskogo-13_1620253900;https://arenda-022.ru/images/upload/2021_05_4500_66685_Челябинск.jpg
Челябинск;Курчатовский;;Скульптора Головницкого;4;43;5;1;12000;https://arenda-022.ru/sdam/kvartira--skulptora-golovnickogo-4_1620211181;https://arenda-022.ru/images/upload/2021_05_4439_652906_Челябинск.jpg
Челябинск;Курчатовский;;Свердловский пр-т;12А;42;2;1;14000;https://arenda-022.ru/sdam/kvartira-sverdlovskiy-pr-t-12a_1620209490;https://arenda-022.ru/images/upload/2021_05_7344_427384_Челябинск.jpg
Челябинск;Калининский;;пр-т Победы;311;42;7;1;16500;https://arenda-022.ru/sdam/kvartira-pr-t-pobedy-311_1620222052;https://arenda-022.ru/images/upload/2021_05_9677_143013_Челябинск.jpg
Челябинск;Советский;;Сулимова;47А;44;5;1;14800;https://arenda-022.ru/sdam/kvartira--sulimova-47a_1620239287;https://arenda-022.ru/images/upload/2021_05_9301_150521_Челябинск.jpg
